name,nationality,wins,was_champion
Rafael Carvalho,Brazil,14,0
Shane Carwin,United States,12,1
Johnny Case,United States,22,0
Kevin Casey,United States,9,0
Cortney Casey,United States,10,0
Brandon Cash,United States,10,0
Bendy Casimir,France,20,0
Dwayne Cason,United States,1,0
Joe Cason,United States,9,0
John Castaneda,United States,21,0
Eric Castile,United States,3,0
Gil Castillo,United States,8,0
Danny Castillo,United States,17,0
Raul Castillo,United States,7,0
Jenna Castillo,United States,1,0
Tim Catalfo,United States,4,0
Nick Catone,United States,10,0
Luke Caudillo,United States,17,0
Gesias Cavalcante,Brazil,21,0
Rafael Cavalcante,Brazil,12,0
Jacqueline Cavalcanti,Portugal,9,0
Igor Cavalcanti,Brazil,9,0
Magnus Cedenblad,Sweden,14,0
Yosdenis Cedeno,Cuba,10,0
Henry Cejudo,United States,16,1
Adam Cella,United States,6,0
Vinicius Cenci,Unlisted,7,0
Katlyn Cerminara,United States,18,0
Rafael Cerqueira,Puerto Rico,11,0
Donald Cerrone,United States,36,0
Jared Chaffee,United States,5,0
Luan Chagas,Brazil,15,0
Edgar Chairez,Mexico,11,0
Ansar Chalangov,Russia,14,0
Alex Chambers,Australia,5,0
Michael Chandler,United States,23,0
Chelsea Chandler,United States,6,0
Donnie Chappell,United States,0,0
Joe Charles,United States,6,0
Dan Charles,United States,10,0
Morgan Charriere,France,20,0
Ernest Chavez,United States,10,0
Emilio Chavez,United States,12,0
Danny Chavez,United States,11,0
Gabriel Checco,Brazil,10,0
Albert Cheng,Canada,7,0
Fabio Cherant,United States,7,0
Ion Cherdivara,Canada,1,0
Mark Cherico,United States,11,0
Macy Chiasson,United States,11,1
Michael Chiesa,United States,20,1
Giga Chikadze,Georgia,15,0
Khamzat Chimaev,United Arab Emirates,14,0
Sako Chivitchian,Armenia,8,0
Mu Bae Choi,South Korea,12,0
Hong Man Choi,South Korea,4,0
Dooho Choi,South Korea,16,0
SeungWoo Choi,South Korea,11,0
SeungGuk Choi,South Korea,7,0
DongHun Choi,South Korea,9,0
John Cholish,United States,8,0
Ryo Chonan,Japan,22,0
Will Chope,United States,34,0
Joachim Christensen,Denmark,14,0
Kevin Christian,Brazil,9,0
Dan Christison,United States,20,0
Anthony Christodoulou,Greece,12,0
Murad Chunkaiev,Russia,8,0
Cameron Church,United States,4,0
Steven Ciaccio,United States,4,0
Mike Ciesnolevicz,United States,19,0
Hannah Cifers,United States,10,0
Branko Cikatic,Croatia,0,0
Nikolajus Cilkinas,Lithuania,2,0
Misha Cirkunov,Latvia,15,0
Johnny Cisneros,United States,9,0
Laverne Clark,United States,27,0
Logan Clark,United States,18,0
Mychal Clark,United States,10,0
Dominic Clark,United States,10,0
Heather Clark,United States,7,0
Devin Clark,United States,14,0
Jessica-Rose Clark,Australia,11,0
Shannon Clark,United States,5,0
John Clarke,United States,1,0
Mitch Clarke,Canada,11,0
Rich Clementi,United States,45,0
Chris Clements,Canada,12,0
RJ Clifford,Unlisted,4,0
Mark Climaco,United States,9,0
Josh Clopton,United States,6,0
Brian Cobb,United States,20,0
Darryl Cobb,United States,6,0
Dave Cochran,Unlisted,26,0
Dakota Cochrane,United States,29,0
Marloes Coenen,Netherlands,23,0
Marc Cofer,United States,7,0
John Cofer,United States,8,0
Chris Coggins,United States,7,0
Felipe Colares,Brazil,10,0
Wayne Cole,United States,16,0
Devin Cole,United States,20,0
Coltin Cole,United States,4,0
Ivan Cole,United States,2,0
Chandler Cole,United States,10,0
Mark Coleman,United States,16,0
Cortez Coleman,United States,13,0
Clay Collard,United States,14,0
Jamie Colleen,Puerto Rico,4,0
Jake Collier,United States,13,0
Christian Colombo,Denmark,8,0
Willian Colorado,United States,11,0
Wes Combs,United States,20,0
