name,nationality,wins,was_champion
Ovince Saint Preux,United States,27,0
Lukasz Sajewski,Poland,13,0
Yukio Sakaguchi,Japan,6,0
Augusto Sakai,Brazil,16,0
Alessio Sakara,Italy,19,0
Wataru Sakata,Japan,11,0
Gokhan Saki,Turkey,1,0
Kazushi Sakuraba,Japan,26,0
Hayato Sakurai,Japan,38,0
Ryuta Sakurai,Japan,24,0
Justin Salas,United States,12,0
Ivan Salaverry,United States,14,0
Roman Salazar,United States,10,0
Luis Saldana,United States,16,0
John Salgado,United States,4,0
Muslim Salikhov,Russia,21,0
Gabriel Salinas-Jones,United States,5,0
Brandon Saling,United States,8,0
Quillan Salkilld,Australia,8,0
Sean Salmon,United States,18,0
Boston Salmon,United States,6,0
John Salter,United States,14,0
Vinicius Salvador,Brazil,14,0
Dylan Salvador,France,5,0
Josh Samman,United States,13,0
Johnny Sampaio,United States,3,0
Josh Sampo,United States,11,0
Josh San Diego,United States,8,0
Diego Sanchez,United States,31,1
Eddie Sanchez,United States,15,0
Julian Sanchez,United States,0,0
Bobby Sanchez,United States,10,0
Donald Sanchez,United States,31,0
Joby Sanchez,United States,11,0
Emmanuel Sanchez,United States,15,0
Erick Sanchez,United States,8,0
Andrew Sanchez,United States,13,1
Robert Sanchez,United States,8,0
Jesse Sanders,United States,23,0
Luke Sanders,United States,13,0
Jerrod Sanders,United States,16,0
Cory Sandhagen,United States,17,0
Hugo Sandoval,United States,2,0
Raul Sandoval,United States,3,0
Joseph Sandoval,United States,7,0
Hector Sandoval,United States,14,0
Chris Sanford,United States,5,0
Roldan Sangcha'an,Unlisted,4,0
Yuhi Sano,Japan,0,0
Martin Sano,United States,4,0
Jonathan Santa Maria,United States,3,0
Duda Santana,Brazil,3,0
Shaheen Santana,United States,6,0
Sean Santella,United States,17,0
Jorge Santiago,Brazil,25,0
Mike Santiago,United States,19,0
Will Santiago,Argentina,9,0
Richie Santiago,United States,7,0
Jose Santibanez,United States,10,0
Art Santore,United States,18,0
Adriano Santos,Brazil,0,0
Paulo Santos,Unlisted,0,0
Evangelista Santos,Brazil,21,0
Luis Santos,Brazil,63,0
Iliarde Santos,Brazil,30,0
Leonardo Santos,Brazil,18,1
Thiago Santos,Brazil,22,0
Bruno Santos,Brazil,15,0
Andre Santos,Brazil,38,0
Gleristone Santos,Brazil,33,0
Yana Santos,Russia,15,0
Taila Santos,Brazil,19,0
Marilia Santos,Brazil,10,0
Edivan Santos,Brazil,12,0
Daniel Santos,Brazil,12,0
Gabriel Santos,Brazil,12,0
Luana Santos,Brazil,8,0
Djorden Santos,Brazil,10,0
Mairon Santos,Brazil,15,0
Nick Sanzo,United States,1,0
Bob Sapp,United States,11,0
Daniel Sarafian,Brazil,10,0
Jeka Saragih,Indonesia,14,0
Diego Saraiva,United States,22,0
Harris Sarmiento,United States,36,0
Alexander Sarnavskiy,Russia,35,0
Yuki Sasaki,Japan,25,0
Kyosuke Sasaki,Japan,3,0
Yuta Sasaki,Japan,21,0
Paul Sass,England,14,0
Keisuke Sasu,Japan,11,0
Masaaki Satake,Japan,1,0
Takenori Sato,Japan,19,0
Takashi Sato,Japan,16,0
Uran Satybaldiev,Kyrgyzstan,7,0
Jeimeson Saudino,United States,8,0
Tom Sauer,Unlisted,25,0
Townsend Saunders,United States,0,0
Ben Saunders,United States,22,0
Chad W. Saunders,United States,7,0
Chris Saunders,United States,16,0
Christien Savoie,Canada,10,0
Lumumba Sayers,United States,6,0
Matt Sayles,United States,8,0
Brandon Sayles,United States,5,0
Mikheil Sazhiniani,Georgia,13,0
Mark Scanlon,England,9,0
Eric Schafer,United States,14,0
Kerry Schall,United States,24,0
Eric Schambari,United States,15,0
Brendan Schaub,United States,10,0
Matheus Scheffel,Brazil,14,0
Antonio Schembri,Brazil,5,0
Fabiano Scherner,Brazil,11,0
Samy Schiavo,France,10,0
Pat Schilling,United States,5,0
Joe Schilling,United States,2,0
Semmy Schilt,Netherlands,26,0
Adam Schindler,United States,10,0
Daniel Schmitt,Unlisted,2,0
Colleen Schneider,United States,11,0
Matt Schnell,United States,16,0
Alex Schoenauer,United States,15,0
Bailey Schoenfelder,United States,5,0
Darrill Schoonover,United States,14,0
Bob Schrijber,Netherlands,20,0
Nate Schroeder,United States,11,0
Lacey Schuckman,United States,11,0
Mark Schultz,United States,1,0
Wes Schultz,Unlisted,6,0
Brian Schwartz,United States,1,0
Eric Schwartz,United States,2,0
Justin Scoggins,United States,11,0
Brad Scott,Puerto Rico,11,0
Greg Scott,United States,3,0
Louis Lee Scott,England,8,0
Zachary Scroggin,Puerto Rico,7,0
Mike Seal,United States,13,0
Matt Secor,United States,8,0
Kenneth Seegrist,United States,4,0
Neil Seery,Ireland,16,0
Rony Sefo,New Zealand,0,0
Ray Sefo,New Zealand,2,0
Brendan Seguin,United States,23,0
Tetsuya Seki,Japan,14,0
Stefan Sekulic,Serbia,12,0
Pete Sell,United States,10,0
Matthew Semelsberger,United States,11,0
Andrei Semenov,Russia,34,0
Mackens Semerzier,United States,8,0
Brandon Sene,United States,2,0
YeDam Seo,Puerto Rico,7,0
Kim In Seok,South Korea,3,0
Ray Seraille,United States,8,0
Ivan Serati,Italy,12,0
Alex Serdyukov,United States,8,0
Nicholas Sergiacomi,United States,1,0
Matt Serra,United States,11,1
Nick Serra,United States,7,0
Adrian Serrano,United States,56,0
Fredy Serrano,Colombia,3,0
Carl Seumanutafa,United States,10,0
Igor Severino,Puerto Rico,8,0
Dan Severn,United States,101,0
Rosi Sexton,England,13,0
Scott Shaffer,United States,0,0
Edmen Shahbazyan,United States,14,0
Leon Shahbazyan,United States,7,0
Don Shainis,United States,12,0
Liliya Shakirova,Uzbekistan,8,0
Kamal Shalorus,Iran,9,0
Ken Shamrock,United States,28,0
Frank Shamrock,United States,23,1
Shang Zhifa,Unlisted,32,0
Sean Sharaf,United States,4,0
Priya Sharma,India,5,0
Jason Sharp,United States,3,0
Eric Shelton,United States,12,0
Sean Sherk,United States,36,1
Chase Sherman,United States,16,0
Valentina Shevchenko,Kyrgyzstan,24,1
Antonina Shevchenko,Kyrgyzstan,10,0
Shi Ming,Unlisted,17,0
Katsuyori Shibata,Japan,4,0
Jake Shields,United States,31,0
Henrique Shiguemoto,Brazil,13,0
Shunichi Shimizu,Japan,30,0
Wade Shipp,United States,11,0
Raja Shippen,United States,18,0
Yuya Shirai,Japan,26,0
Wes Shivers,United States,7,0
Alexander Shlemenko,Russia,56,0
Josh Shockley,United States,11,0
Josh Shockman,United States,6,0
Akira Shoji,Japan,14,0
Liudvik Sholinian,Ukraine,9,0
Jack Shore,Wales,17,0
Landon Showalter,United States,11,0
Ivan Shtyrkov,Russia,15,0
Brandon Shuey,United States,7,0
Ronal Siahaan,Indonesia,7,0
Sam Sicilia,United States,15,0
Kiril Sidelnikov,Puerto Rico,11,0
Serhiy Sidey,Canada,11,0
Steven Siler,United States,29,0
Siala Siliga,Unlisted,12,0
Xavier Siller,United States,5,0
Assuerio Silva,Brazil,16,0
Anderson Silva,Brazil,34,1
Wanderlei Silva,Brazil,35,0
Thiago Silva,Brazil,19,0
Paulo Cesar Silva,Brazil,2,0
Jean Silva,Brazil,15,0
Edson Silva,Brazil,14,0
Sidney Silva,United States,8,0
Jay Silva,United States,10,0
Antonio Silva,Brazil,19,0
Fabio Silva,Brazil,1,0
Erick Silva,Brazil,19,0
Leandro Silva,Brazil,20,0
Claudio Silva,Brazil,14,0
Wagner Silva,Brazil,6,0
Rafael Silva,Portugal,28,0
Joaquim Silva,Brazil,13,0
Felipe Silva,Brazil,8,0
Dayana Silva,Brazil,7,0
Bruno Silva,Brazil,23,0
Gabriel Silva,Brazil,8,0
Jacob Silva,United States,6,0
Natalia Silva,Brazil,18,0
Jansey Silva,Brazil,7,0
Maria Silva,Brazil,8,0
Karine Silva,Brazil,18,0
Erik Silva,Venezuela,9,0
Janaina Silva,Brazil,5,0
Jhonata Silva,Brazil,8,0
Danny Silva,United States,9,0
Douglas Silva de Andrade,Brazil,29,0
Leonardo Silva de Oliveira,Brazil,12,0
Marcus Silveira,Brazil,6,0
Elias Silverio,Brazil,13,0
Sim Kai Xiong,Singapore,5,0
Jamey Simmons,United States,7,0
Ricky Simon,United States,21,0
Aaron Simpson,United States,12,0
Wes Sims,United States,24,0
Marlon Sims,United States,3,0
Tony Sims,United States,12,0
Everett Sims,United States,4,0
Lodune Sincaid,United States,15,0
Rob Sinclair,England,13,0
Rory Singer,United States,11,0
Rana Rudra Pratap Singh,India,11,0
Kiran Singh,Ireland,7,0
Elvis Sinosic,Australia,7,0
Mitchell Sipe,United States,4,0
Gian Siqueira,Brazil,19,0
Jeremia Siregar,Indonesia,6,0
AJ Siscoe,Puerto Rico,1,0
Yokthai Sithoar,Thailand,0,0
Jeri Sitzes,United States,3,0
Dennis Siver,Germany,23,0
Chas Skelly,United States,19,0
Matt Skelton,England,0,0
Zach Skinner,United States,10,0
Brian Sleeman,United States,9,0
Joe Slick,United States,16,0
Ray Sloan,United States,8,0
Kestutis Smirnovas,Lithuania,24,0
Maurice Smith,United States,12,0
Patrick Smith,United States,20,0
Scott Smith,United States,18,0
Eric Smith,United States,1,0
Josh Smith,United States,9,0
David Smith,United States,5,0
Adam Smith,United States,0,0
Dillon Smith,Unlisted,0,0
Trevor Smith,United States,15,0
Anthony Smith,United States,38,0
Colton Smith,United States,7,1
Gilbert Smith,United States,12,0
Leslie Smith,United States,10,0
Devonte Smith,United States,11,0
Cole Smith,Canada,7,0
Nate Smith,United States,6,0
Braxton Smith,United States,5,0
Elijah Smith,United States,8,0
Jacobe Smith,United States,10,0
Walter Smith-Cotito,United States,4,0
Justin Smitley,United States,10,0
Dmitrii Smoliakov,Russia,9,0
Louis Smolka,United States,17,0
Cameron Smotherman,United States,12,0
Shimon Smotritsky,Israel,8,0
Richie Smullen,Ireland,3,0
Devin Smyth,United States,4,0
Denis Sobolev,Russia,4,0
Peter Sobotta,Germany,17,0
Renato Sobral,Brazil,37,0
Rameau Thierry Sokoudjou,United States,18,0
Alexander Soldatkin,Russia,14,0
Joe Solecki,United States,13,0
Chris Solomon,United States,0,0
Joe Son,United States,0,0
Paul Song,United States,2,0
Song Kenan,China,22,0
Song Yadong,China,22,0
YoungJae Song,Unlisted,6,0
Emrah Sonmez,England,14,0
Chael Sonnen,United States,29,0
Cody Sons,United States,3,0
Jin Soo Son,South Korea,9,0
Benardo Sopaj,Puerto Rico,12,0
Emiliano Sordi,Argentina,16,0
Sean Soriano,United States,14,0
Punahele Soriano,United States,11,0
Dmitry Sosnovskiy,Russia,11,0
Ben Sosoli,Australia,7,0
Krzysztof Soszynski,Canada,26,0
George Sotiropoulos,Australia,14,0
Greg Soto,United States,9,0
Alex Soto,United States,8,0
Joe Soto,United States,18,0
Mario Soto,United States,7,0
Andre Soukhamthath,United States,13,0
Mario Sousa,Unlisted,15,0
Bobby Southworth,United States,10,0
Jacare Souza,Brazil,26,0
Edimilson Souza,Brazil,15,0
Livinha Souza,Brazil,14,0
Bruno Souza,Brazil,10,0
Ketlen Souza,Brazil,15,0
Heraldo Souza,Brazil,9,0
Charon Spain,United States,14,0
Chris Spang,United States,6,0
Andreas Spang,United States,9,0
Ryan Spann,United States,22,0
Ron Sparks,United States,8,0
Tommy Speer,Unlisted,21,0
Patrick Speight,United States,7,0
Sean Spencer,United States,12,0
Felicia Spencer,United States,9,0
Sam Spengler,United States,9,0
Nick Sperling,United States,3,0
Mario Sperry,Brazil,13,0
Eric Spicely,United States,12,0
Waachiim Spiritwolf,United States,12,0
Daniel Spitz,United States,6,0
Serghei Spivac,Moldova,17,0
Daniel Spohn,United States,15,0
Pete Spratt,United States,25,0
Austin Springer,United States,12,0
Georges St-Pierre,Canada,26,1
Bobby Stack,United States,8,0
Andreas Stahl,Sweden,10,0
Ron Stallings,United States,14,0
Cody Stamann,United States,21,0
Cristina Stanciu,Romania,5,0
Brian Stann,United States,12,0
Josh Stansbury,United States,4,0
Dion Staring,Netherlands,35,0
Lucas Stark,United States,1,0
Clifford Starks,United States,13,0
Kalib Starnes,Canada,17,0
Laureano Staropoli,Argentina,9,0
Damian Stasiak,Poland,10,0
Adam Steele,Unlisted,0,0
Dominique Steele,United States,14,0
Ricky Steele,United States,6,0
Kody Steele,United States,7,0
Eric Steenberg,Unlisted,5,0
Steve Steinbeiss,United States,9,0
Ray Steinbeiss,United States,14,0
Dmitri Stepanov,Belarus,0,0
Jeremy Stephens,United States,28,0
Aljamain Sterling,United States,24,1
Marc Stevens,United States,21,0
Joe Stevenson,United States,33,1
Maia Stevenson,Brazil,6,0
Luke Stewart,United States,6,0
Darren Stewart,England,12,0
Kyle Stewart,United States,11,0
Alex Stiebling,United States,19,0
Tyler Stinson,United States,30,0
Navajo Stirling,New Zealand,6,0
Dan Stittgen,Unlisted,12,0
Lazar Stojadinovic,United States,12,0
Denis Stojnic,Bosnia and Herzegovina,13,0
Julija Stoliarenko,Lithuania,11,0
Dustin Stoltzfus,United States,16,0
Niklas Stolze,Germany,12,0
Ken Stone,United States,11,0
Ryan Stonitsch,United States,8,0
George Stork,United States,7,0
Rick Story,United States,19,0
Darko Stosic,Serbia,13,0
Greg Stott,United States,0,0
Curtis Stout,United States,11,0
Sam Stout,Canada,20,0
Tim Stout,United States,12,0
Jesse Strader,United States,5,0
Gennaro Strangis,Unlisted,0,0
Dave Strasser,United States,25,0
Daniel Straus,United States,24,0
Gerald Strebendt,United States,9,0
Sean Strickland,United States,29,1
Mark Striegl,Philippines,18,0
Hans Stringer,Netherlands,22,0
Stefan Struve,Netherlands,33,0
Josh Stuart,United States,1,0
Mike Stumpf,United States,11,0
Kyle Sturgeon,United States,0,0
Tatiana Suarez,United States,11,1
Masanori Suda,Japan,22,0
Genki Sudo,Japan,15,0
Lucasz Sudolski,Puerto Rico,8,0
Daisuke Sugie,Japan,10,0
Takashi Sugiura,Japan,1,0
Naho Sugiyuma,Japan,12,0
George Sullivan,United States,17,0
Amar Suloev,Armenia,24,0
Magomed Sultanakhmedov,Russia,18,0
Justin Sumter,United States,7,0
Sumudaerji,China,16,0
Rama Supandhi,Indonesia,8,0
Aji Susilo,Indonesia,6,0
Jason Suttie,Samoa,0,0
Joel Sutton,United States,2,0
Chad Sutton,United States,2,0
Danilo Suzart,Brazil,9,0
Martin Svensson,Sweden,15,0
Daniel Swain,United States,20,0
Cub Swanson,United States,30,0
Mike Swick,United States,15,0
Floyd Sword,United States,12,0
Oumar Sy,France,11,0
Klaudia Sygula,Poland,6,0
Bentley Syler,Bolivia,5,0
Kevin Syler,Bolivia,10,0
Leo Sylvest,United States,10,0
Tony Sylvester,United States,11,0
Tim Sylvia,United States,31,1
Kevin Szaflarski,Poland,11,0
Bartosz Szewczyk,Poland,8,0
Osamu Tachihikari,Japan,0,0
Amber Tackett,United States,1,0
Eugenio Tadeu,Brazil,2,0
Justin Tafa,Australia,7,0
Junior Tafa,New Zealand,6,0
Khalid Taha,Germany,13,0
Joe Taimanglo,Guam,23,0
Tatsuro Taira,Japan,16,0
Mairbek Taisumov,Russia,27,0
Nobuhiko Takada,Japan,2,0
Yoshiki Takahashi,Japan,30,0
Yoko Takahashi,Japan,15,0
Daiju Takase,Japan,12,0
Hiroyuki Takaya,Japan,21,0
Yoshihiro Takayama,Japan,1,0
Makoto Takimoto,Japan,6,0
Oleg Taktarov,Russia,17,0
Payton Talbott,United States,9,0
Nordine Taleb,Canada,15,0
Murtaza Talha,Unlisted,6,0
Tsuyoshi Tamakairiki,Japan,0,0
Eli Tamez,United States,10,0
Kiyoshi Tamura,Japan,32,0
Akitoshi Tamura,Japan,21,0
Issei Tamura,Japan,10,0
Jason Tan,England,5,0
Akihito Tanaka,Japan,2,0
Michinori Tanaka,Japan,11,0
Evan Tanner,United States,32,1
Kasey Tanner,United States,6,0
Otari Tanzilovi,Georgia,9,0
Manny Tapia,United States,12,0
Gary Tapusoa,United States,8,0
Miesha Tate,United States,20,1
Aaron Tau,New Zealand,8,0
Deividas Taurosevicius,United States,17,0
Thiago Tavares,Brazil,21,0
Jeremy Tavares,United States,1,0
Brad Tavares,United States,20,0
Ramon Taveras,United States,10,0
Paul Taylor,England,11,0
Jesse Taylor,United States,31,1
Torrance Taylor,United States,13,0
Louis Taylor,United States,13,0
Anthony Taylor,Puerto Rico,1,0
Danielle Taylor,United States,9,0
J.T Taylor,United States,7,0
James Te Huna,Australia,16,0
Cam Teague,United States,7,0
Shawn Teed,United States,5,0
Glover Teixeira,Brazil,33,1
John Teixeira,Brazil,21,0
Ewerton Teixeira,Brazil,3,0
Tallison Teixeira,Brazil,8,0
Tra Telligman,United States,7,0
Ramazan Temirov,Unlisted,18,0
Taneisha Tennant,United States,5,0
Herman Terrado,United States,15,0
Dave Terrel,United States,7,0
David Terrell,United States,6,0
James Terry,United States,19,0
Jeff Terry,United States,2,0
David Teymur,Sweden,8,0
Daniel Teymur,Sweden,7,0
Motonobu Tezuka,Japan,28,0
Jason Thacker,Canada,0,0
Alexia Thainara,Brazil,11,0
Brandon Thatch,United States,11,0
Elias Theodorou,Canada,16,1
Nik Theotikos,United States,6,0
Paulo Thiago,Brazil,18,0
Colby Thicknesse,Australia,7,0
Din Thomas,United States,26,0
Ryan Thomas,United States,20,0
Noah Thomas,United States,14,0
Joel Thomas,United States,5,0
Treston Thomison,United States,10,0
Nick Thompson,United States,38,0
James Thompson,England,20,0
Oli Thompson,England,17,0
Stephen Thompson,United States,17,0
Josh Thomson,United States,22,0
Simeon Thoresen,Norway,17,0
Josh Thornburg,United States,8,0
Gleison Tibau,Brazil,33,0
Chris Tickle,United States,9,0
Nolan Ticman,United States,4,0
Darren Till,England,18,0
Brett Tillis,United States,0,0
Denis Tiuliulin,Russia,10,0
Ryan Tobar,United States,3,0
Andrew Todhunter,United States,8,0
Dusko Todorovic,Serbia,12,0
Tuco Tokkos,Puerto Rico,10,0
Hideo Tokoro,Japan,34,0
Anatoly Tokov,Russia,25,0
Kazuki Tokudome,Japan,18,0
Puja Tomar,India,9,0
Tyler Toner,United States,15,0
James Toney,United States,0,0
Masanori Tonooka,Japan,1,0
Carl Toomey,Australia,3,0
Ilia Topuria,Spain,16,1
Aleksandre Topuria,Georgia,6,0
Anthony Torres,United States,5,0
Miguel Torres,United States,44,0
Ronys Torres,Brazil,35,0
Haven Torres,United States,0,0
Alex Torres,Luxembourg,5,0
Abram Torres,United States,4,0
Jose Torres,United States,8,0
Desmond Torres,United States,7,0
Manuel Torres,Mexico,15,0
Eduardo Torres Caut,Puerto Rico,16,0
Salim Touahri,Poland,10,0
Dequan Townsend,United States,21,0
Minoru Toyonaga,Japan,2,0
Slim Trabelsi,Tunisia,5,0
Roberto Traven,Brazil,6,0
Bryan Travers,United States,15,0
Alexander Trevino,United States,7,0
Francisco Trevino,United States,13,0
Angelo Trevino,United States,7,0
Frank Trigg,United States,21,0
Francisco Trinaldo,Brazil,28,0
Damien Trites,United States,7,0
Michael Trizano,United States,11,1
Antonio Trocoli,Brazil,12,0
Tor Troeng,Sweden,16,0
Aaron Trujillo,United States,0,0
Reynaldo Trujillo,Unlisted,21,0
Abel Trujillo,United States,15,0
Arman Tsarukyan,Russia,22,0
Rei Tsuruya,Japan,10,0
Chris Tuchscherer,United States,21,0
Jon Tuck,Guam,10,0
Gavin Tucker,Canada,13,0
Jumabieke Tuerxun,China,19,0
Tom Tuggle,United States,0,0
Blair Tugman,United States,10,0
Tai Tuivasa,Australia,15,0
Zubaira Tukhugov,Russia,20,0
Teila Tuli,United States,0,0
Marco Tulio,Brazil,13,0
Nyamjargal Tumendemberel,Mongolia,8,0
Albert Tumenov,Russia,18,0
Ricky Turcios,United States,13,0
Anton Turkalj,Sweden,8,0
Wellington Turman,Brazil,18,0
Courtney Turner,United States,0,0
Jalin Turner,United States,14,0
Austin Tweedy,United States,8,0
Marcin Tybura,Poland,26,0
Takeru Uchida,Japan,6,0
Alberto Uda,Unlisted,12,0
Ryuki Ueyama,Japan,12,0
Christian Uflacker,United States,5,0
Andy Uhrich,United States,11,0
Tagir Ulanbekov,Russia,16,0
Carlos Ulberg,New Zealand,12,0
Gasan Umalatov,Russia,17,0
Jeremy Umphries,United States,5,0
Zach Underwood,United States,13,0
Caol Uno,Japan,33,0
Kengo Ura,Japan,14,0
Logan Urban,United States,5,0
Hector Urbina,United States,17,0
Elias Urbina,United States,3,0
Gilbert Urbina,United States,7,0
Nick Urso,United States,10,0
Yasuhiro Urushitani,Japan,21,0
Sho Patrick Usami,Japan,4,0
Kamaru Usman,United States,20,1
Mohammed Usman,Nigeria,11,0
Darren Uyenoyama,United States,10,0
Richie Vaculik,Australia,10,0
Artem Vakhitov,Russia,3,0
Egidijus Valavicius,Lithuania,29,0
Genaro Valdez,Mexico,10,0
Charlie Valencia,United States,12,0
Robert Valentin,Switzerland,11,0
Victor Valenzuela,United States,13,0
Ivan Valenzuela,Mexico,8,0
Timur Valiev,Russia,18,0
Victor Valimaki,Canada,18,0
Andrew Valladerez,United States,5,0
Kevin Vallejos,Argentina,14,0
Isaac Vallie-Flagg,United States,16,0
Joshua Van,Myanmar,12,0
Mike van Arsdale,United States,8,0
Matt Van Buren,United States,7,0
Ron van Clief,United States,0,0
Lloyd Van Dams,Suriname,0,0
Alain Van der Merckt,Puerto Rico,8,0
Cameron VanCamp,United States,15,0
Chad Vance,United States,7,0
Jared Vanderaa,United States,12,0
Austin Vanderford,United States,13,0
Lando Vannata,United States,12,0
Paige VanZant,United States,8,0
Paul Varelans,United States,9,0
Kazula Vargas,Puerto Rico,12,0
Jamie Varner,United States,21,0
Guilherme Vasconcelos,Brazil,9,0
Linton Vassell,England,18,0
Billy Vaughan,United States,12,0
Yuri Vaulin,Latvia,0,0
Javier Vazquez,United States,16,0
Manny Vazquez,United States,11,0
Matt Veach,United States,17,0
Joe Vedepo,United States,18,0
Kelly Velasco,Unlisted,2,0
Greg Velasco,United States,6,0
Cain Velasquez,United States,14,1
David Velasquez,United States,10,0
Bojan Velickovic,Serbia,15,0
Karlos Vemola,Czech Republic,17,0
Luigi Vendramini,Brazil,9,0
Jerrel Venetiaan,Netherlands,4,0
Scott Ventimiglia,United States,14,0
Brandon Vera,United States,15,0
Kerry Vera,United States,2,0
Marlon Vera,Ecuador,23,0
Carlos Vera,Ecuador,11,0
Isis Verbeek,Netherlands,5,0
Ernie Verdicia,United States,0,0
Joe Veres,United States,4,0
Nikolay Veretennikov,Kazakhstan,12,0
CJ Vergara,United States,12,0
Renato Verissimo,United States,7,0
Bryan Vetell,United States,4,0
Marvin Vettori,Italy,19,0
Hugo Viana,Brazil,8,0
Guilherme Viana,Brazil,7,0
Polyana Viana,Brazil,13,0
Vitor Vianna,United States,12,0
James Vick,United States,13,0
Tamires Vidal,Brazil,7,0
Milton Vieira,Brazil,13,0
Reginaldo Vieira,Brazil,13,1
Ketlen Vieira,Brazil,14,0
Rodolfo Vieira,Brazil,10,0
Steve Vigneault,Canada,12,0
Alejandro Villalobos,Costa Rica,17,0
DeMarco Villalona,United States,1,0
Gian Villante,United States,17,0
Ike Villanueva,Puerto Rico,18,0
Ruben Villareal,United States,22,0
Armando Villarreal,United States,5,0
Pablo Villaseca,Chile,12,0
Joey Villasenor,United States,29,0
Danillo Villefort,United States,15,0
Yuri Villefort,Brazil,10,0
Marcos Vinicius,Brazil,23,0
Brandon Visher,United States,13,0
Falaniko Vitale,United States,30,0
Cheyanne Vlismas,United States,7,0
Bobby Voelker,United States,19,0
Mateo Vogel,Puerto Rico,8,0
Danylo Voievodkin,Ukraine,7,0
Alexander Volkanovski,Australia,26,1
Jacob Volkmann,United States,19,0
Alexander Volkov,Russia,38,0
Jason Von Flue,United States,14,0
Milco Voorn,Holland,20,0
Mark Vorgeas,United States,5,0
Igor Vovchanchyn,Ukraine,55,0
Jordan Vucenic,England,13,0
James Wade,United States,4,0
Chris Wade,United States,12,0
Neil Wain,England,13,0
TJ Waldburger,United States,16,0
Chase Waldon,United States,11,0
Andre Walker,United States,1,0
Herschel Walker,United States,2,0
Donny Walker,United States,15,0
Johnny Walker,Brazil,21,0
Brogan Walker,Guam,8,0
Valter Walker,Brazil,13,0
Julius Walker,United States,6,0
Ben Wall,Australia,8,0
Crafton Wallace,United States,18,0
Rodney Wallace,United States,26,0
Jeremy Wallace,United States,4,0
Randall Wallace,United States,15,0
James Wallace,United States,5,0
Jim Wallhead,England,29,0
Cory Walmsley,United States,8,0
Richard Walsh,Australia,9,0
Patrick Walsh,United States,10,0
Erick Wanderlei,Brazil,3,0
Dimitiri Wanderley,Brazil,5,0
Andy Wang,United States,7,0
Sai Wang,China,20,0
Anying Wang,Mongolia,2,0
Wang Cong,China,7,0
Joshua Wang-Kim,Puerto Rico,5,0
Curt Warburton,England,13,0
Brennan Ward,United States,14,0
Charlie Ward,Ireland,3,0
Terrion Ware,United States,17,0
Joe Warren,United States,15,0
Brian Warren,United States,18,0
Merritt Warren,United States,3,0
Idris Wasi,Unlisted,2,0
Kengo Watanabe,Japan,8,0
Kazuhisa Watanabe,Japan,0,0
Ron Waterman,United States,16,0
Andy Waters,United States,1,0
Dominic Waters,United States,9,0
Trey Waters,United States,9,0
Michelle Waterson-Gomez,United States,18,0
Sam Watford,United States,2,0
Blake Watkins,United States,5,0
Kyle Watson,United States,13,0
Maka Watson,United States,4,0
Walel Watson,United States,14,0
Tom Watson,England,17,0
Enrique Watson,United States,3,0
Brok Weaver,United States,15,0
Jonavin Webb,United States,9,0
Stephanie Webber,United States,2,0
Royston Wee,Singapore,4,0
Darian Weeks,United States,5,0
Joshua Weems,United States,11,0
Daniel Weichel,Germany,39,0
Chris Weidman,United States,16,1
Mark Weir,England,21,0
Christian Wellisch,Hungary,8,0
Malcolm Wellmaker,United States,8,0
Jeremiah Wells,United States,12,0
Fabricio Werdum,Brazil,24,1
Mike Wessel,United States,15,0
Dustin West,United States,6,0
Sheldon Westcott,Canada,10,0
Aaron Wetherspoon,United States,9,0
Coty Wheeler,United States,14,0
Vernon White,United States,26,0
Steve White,United States,1,0
Alex White,United States,13,0
Craig White,England,14,0
Patrik White,United States,9,0
Robert Whiteford,Scotland,14,0
Mike Whitehead,United States,27,0
Garett Whiteley,United States,7,0
Mitch Whitesel,United States,17,0
Emily Whitmire,United States,4,0
Robert Whittaker,Australia,27,1
Josh Wick,United States,12,0
Adam Wieczorek,Poland,10,0
Orlando Wiet,France,1,0
Jonathan Wiezorek,United States,11,0
Justin Wilcox,United States,14,0
Joe Wilk,United States,19,0
Aaron Wilkinson,England,11,0
Mike Wilkinson,England,9,0
Rob Wilkinson,Australia,11,0
James Wilks,England,7,1
Tedd Williams,United States,7,0
Pete Williams,United States,12,0
Rubin Williams,United States,0,0
Carter Williams,United States,4,0
Patrick Williams,United States,8,0
Tim Williams,United States,15,0
Jordan Williams,United States,9,0
Cole Williams,United States,11,0
Khaos Williams,United States,15,0
Karl Williams,"Virgin Islands, U.S.",10,0
Karl Willis,United States,0,0
Justin Willis,United States,8,0
Chris Wilson,Brazil,18,0
Greg Wilson,United States,2,0
Jonathan Wilson,United States,7,0
Sean Wilson,United States,36,0
Westin Wilson,United States,17,0
Matt Wiman,United States,16,0
Eddie Wineland,United States,24,0
Deron Winn,United States,7,0
Andre Winner,England,21,0
Eric Wisely,United States,26,0
Keith Wisniewski,United States,28,0
Jason Witt,United States,19,0
Travis Wiuff,United States,75,0
Ray Wizard,United States,0,0
Karolina Wojcik,Poland,9,0
Danyelle Wolf,United States,1,0
Brandon Wolff,United States,7,0
Xue Do Won,China,0,0
Joanne Wood,Scotland,17,0
Nathaniel Wood,England,20,0
Val Woodburn,Puerto Rico,7,0
Tyron Woodley,United States,19,1
Salvador Woods,United States,8,0
Logan Woods,United States,5,0
Sean Woodson,United States,13,0
Cal Worsham,United States,13,0
